Number of contigs:5431.000000
Maximum contig lenth:7443.000000
Mean contig:323.109188
Total length of the genome assembly:1754806.000000
Mean depth coverage:37.877960
N50 value of assembly:813.000000
# Contig length	Number of contigs in this category
0	2200
100	1510
200	404
300	272
400	188
500	131
600	97
700	95
800	78
900	66
1000	40
1100	39
1200	33
1300	34
1400	22
1500	27
1600	23
1700	17
1800	15
1900	19
2000	10
2100	8
2200	14
2300	4
2400	6
2500	11
2600	6
2700	1
2800	5
2900	3
3000	2
3100	6
3200	5
3300	7
3400	4
3500	2
3600	3
3700	3
3800	2
3900	1
4000	3
4100	2
4200	2
4300	0
4400	0
4500	1
4600	0
4700	2
4800	1
4900	1
5000	0
5100	0
5200	2
5300	0
5400	0
5500	0
5600	1
5700	0
5800	1
5900	0
6000	0
6100	0
6200	0
6300	0
6400	0
6500	0
6600	0
6700	0
6800	0
6900	0
7000	0
7100	1
7200	0
7300	0
7400	1
